"Bot Name:","HR Assist"
"Report name:","FirstBatchTesting"
"Bot Language:","en"
"Run Type:","inDevelopment"
"Threshold Setting","Mode","minThreshold","maxThreshold","exactMatchThreshold","isActive","taskMatchTolerance","wordCoverage","suggestionsCount","pathCoverage"
"","ml","0.6","","90","true","","","",""
"","faq","60","80","95","true","5","","3","50"
"","cs","","","","true","","60","",""
"","rr","","","","true","2","","",""
"","extnlu","","","","true","","","",""
"Last tested date and time:","04-03-2023 9:27:37 AM"
"Utterance count:","16"
"Percentage breakdown:","93.75% True Positive","0.00% True Negative","6.25% False Positive","0.00% False Negative"
"Success / Failure Ratio:","93.75"
"F1 Score:","0.97"
"Precision:","0.94"
"Recall:","1.00"
"Total Entities Count:","1"
"Matched Entities Count:","1"
"Entities Success / Failure Ration:","100.00"
"Utterance","ExpectedIntent","MatchedIntent","Parent Intent","TaskState","ResultType","Entity Name","Expected EntityValue","Matched EntityValue","Entity Result","Expected Entity Order","Actual Entity Order","EntityIdentifiedBy","entityIdentifiedUsing","entityNERConfidenceScore","Matched Intent's Score","Expected Intent's Score"
"I want to apply for leave","Request Leave","request leave","None","configured","TP","","","","","","","","","","ML: 0.95; FM: 12713.17; RR: 12713.17","ML: 0.95; FM: 12713.17; RR: 12713.17"
"I want to check my employee details","Maintain Employee Details","maintain employee details","None","configured","TP","","","","","","EmployeeID","","","","ML: 96; FM: 9658.15; RR: 11461.96","ML: 96; FM: 9658.15; RR: 11461.96"
"I want to check details of employee ID 1","Maintain Employee Details","maintain employee details","None","configured","TP","EmployeeID","1","1","True","","EmployeeID","ML Engine","NER","","ML: 100; FM: 8030; RR: 11380.48","ML: 100; FM: 8030; RR: 11380.48"
"not feeling well ","Request Leave","request leave","None","configured","TP","","","","","","","","","","ML: 0.826; FM: 11612.22; RR: 11612.22","ML: 0.826; FM: 11612.22; RR: 11612.22"
"Prepone my leave","Modify Or Cancel Leave Request","modify or cancel leave request","None","configured","TP","","","","","","EmployeeID > ModifyOrCancelLeaveConfirmation0001","","","","FM: 9312.22; RR: 9312.22","FM: 9312.22; RR: 9312.22"
"Postpone my leave","Modify Or Cancel Leave Request","request leave","None","configured","FP","","","","","","EmployeeID > ModifyOrCancelLeaveConfirmation0001","","","","ML: 0.678; FM: 8763.33; RR: 8763.33","ML: 0.683; FM: 8096.67; RR: 8096.67"
"need to visit doctor ","Request Leave","request leave","None","configured","TP","","","","","","","","","","ML: 100; FM: 12029.52","ML: 100; FM: 12029.52"
"will not be able to reach office","Request Leave","request leave","None","configured","TP","","","","","","","","","","ML: 100; FM: 13836.08","ML: 100; FM: 13836.08"
"Need to attend urgent personal work ","Request Leave","request leave","None","configured","TP","","","","","","","","","","ML: 100; FM: 12693.76","ML: 100; FM: 12693.76"
"Changed my travel dates","Modify Or Cancel Leave Request","modify or cancel leave request","None","configured","TP","","","","","","EmployeeID > ModifyOrCancelLeaveConfirmation0001","","","","ML: 0.519; FM: 12029.52; RR: 12029.52","ML: 0.519; FM: 12029.52; RR: 12029.52"
"Need to visit hometown","Request Leave","request leave","None","configured","TP","","","","","","","","","","ML: 100; FM: 11729.52","ML: 100; FM: 11729.52"
"Cancelled my trip","Modify Or Cancel Leave Request","modify or cancel leave request","None","configured","TP","","","","","","EmployeeID > ModifyOrCancelLeaveConfirmation0001","","","","ML: 0.352; FM: 9312.22; RR: 9312.22","ML: 0.352; FM: 9312.22; RR: 9312.22"
"Travel on a later date","Modify Or Cancel Leave Request","modify or cancel leave request","None","configured","TP","","","","","","EmployeeID > ModifyOrCancelLeaveConfirmation0001","","","","FM: 12357.62; RR: 12357.62","FM: 12357.62; RR: 12357.62"
"I want to modify my leave request","Modify Or Cancel Leave Request","modify or cancel leave request","None","configured","TP","","","","","","EmployeeID > ModifyOrCancelLeaveConfirmation0001","","","","ML: 0.92; FM: 10751.27; RR: 10751.27","ML: 0.92; FM: 10751.27; RR: 10751.27"
"I want to cancel my leave request","Modify Or Cancel Leave Request","modify or cancel leave request","None","configured","TP","","","","","","EmployeeID > ModifyOrCancelLeaveConfirmation0001","","","","ML: 0.912; FM: 10423.97; RR: 10523.97","ML: 0.912; FM: 10423.97; RR: 10523.97"
"I wont be able to attend office tomorrow","Request Leave","request leave","None","configured","TP","","","","","","","","","","ML: 100; RR: 13233.58","ML: 100; RR: 13233.58"
